Date,Country,Province/State,Confirmed,Deaths,Recovered,Latitude,Longitude
02/03/2020,Afghanistan,,1,0,0,33.76801,66.23851
02/03/2020,Algeria,,5,0,0,28.00003,2.99998
02/03/2020,Andorra,,1,0,0,42.54072,1.57320
02/03/2020,Armenia,,1,0,0,40.76963,44.67366
03/02/2020,Australia,Sydney,4,0,3,-33.85482,151.21645
03/02/2020,Australia,Melbourne,4,0,0,-37.81422,144.96316
03/02/2020,Australia,Brisbane,3,0,0,-27.46897,153.02350
03/02/2020,Australia,Adelaide,1,0,0,-34.92818,138.59993
02/03/2020,Australia,Queensland,10,0,8,-27.46897,153.02350
02/03/2020,Australia,New South Wales,9,0,4,-33.85482,151.21645
02/03/2020,Australia,Victoria,9,0,7,-37.81422,144.96316
02/03/2020,Australia,South Australia,3,0,2,-34.92818,138.59993
02/03/2020,Australia,Western Australia,2,1,0,-31.95271,115.86048
02/03/2020,Australia,Tasmania,1,0,0,-42.88251,147.32812
02/03/2020,Austria,,18,0,0,47.20003,13.19996
02/03/2020,Azerbaijan,,3,0,0,40.39363,47.78725
02/03/2020,Bahrain,,49,0,0,26.15512,50.53446
02/03/2020,Belarus,,1,0,0,53.42506,27.69714
02/03/2020,Belgium,Brussels,8,0,1,50.84367,4.36744
02/03/2020,Brazil,,2,0,0,-10.33333,-53.20000
03/02/2020,Cambodia,,1,0,0,13.50664,104.86942
02/03/2020,Cambodia,,1,0,1,13.50664,104.86942
03/02/2020,Canada,Ontario,3,0,0,50.00068,-86.00098
03/02/2020,Canada,British Columbia,1,0,0,55.00125,-125.00244
02/03/2020,Canada,British Columbia,8,0,3,55.00125,-125.00244
02/03/2020,Canada,Ontario,18,0,3,50.00068,-86.00098
02/03/2020,Canada,Quebec,1,0,0,52.47609,-71.82587
03/02/2020,China,Hubei,13522,414,396,31.15173,112.87832
03/02/2020,China,Guangdong,725,0,21,23.13577,113.19827
03/02/2020,China,Zhejiang,724,0,43,29.00000,120.00000
03/02/2020,China,Henan,675,2,16,34.00000,114.00000
03/02/2020,China,Hunan,521,0,22,27.66621,111.74871
03/02/2020,China,Anhui,480,0,14,32.00000,117.00000
03/02/2020,China,Jiangxi,391,0,18,28.00000,116.00000
03/02/2020,China,Chongqing,337,2,9,29.55857,106.54928
03/02/2020,China,Jiangsu,308,0,8,33.00000,120.00000
03/02/2020,China,Shandong,270,0,7,36.00000,119.00000
03/02/2020,China,Sichuan,254,1,14,30.50000,102.50000
03/02/2020,China,Beijing,212,1,12,39.90622,116.39128
03/02/2020,China,Shanghai,208,1,10,31.22530,121.48905
03/02/2020,China,Fujian,179,0,1,26.54500,117.84278
03/02/2020,China,Shaanxi,128,0,0,36.00000,109.00000
03/02/2020,China,Guangxi,139,0,7,24.00000,109.00000
03/02/2020,China,Heilongjiang,155,2,2,48.00000,127.99999
03/02/2020,China,Yunnan,117,0,5,25.00000,102.00000
03/02/2020,China,Hebei,126,1,3,39.00000,116.00000
03/02/2020,China,Liaoning,74,0,1,40.97391,122.32639
03/02/2020,China,Shanxi,74,0,2,37.00000,112.00000
03/02/2020,China,Hainan,79,1,4,19.20000,109.60000
03/02/2020,China,Tianjin,60,0,1,39.12356,117.19808
03/02/2020,China,Gansu,55,0,3,38.00000,102.00000
03/02/2020,China,Guizhou,56,0,2,27.00000,107.00000
03/02/2020,China,Inner Mongolia,34,0,1,43.24432,114.32517
03/02/2020,China,Ningxia,31,0,1,37.30955,105.96086
03/02/2020,China,Jilin,42,0,1,42.99950,125.98161
03/02/2020,China,Xinjiang,24,0,0,41.75748,87.16738
03/02/2020,China,Qinghai,13,0,0,35.40710,95.95212
03/02/2020,China,Tibet,1,0,0,31.89434,87.07814
02/03/2020,China,Hubei,67217,2834,36167,31.15173,112.87832
02/03/2020,China,Guangdong,1350,7,1081,23.13577,113.19827
